subject,classname,img,filepath,file_exists,label
p014,c0,img_98917.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_98917.jpg,True,0
p014,c0,img_55895.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_55895.jpg,True,0
p014,c0,img_67176.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_67176.jpg,True,0
p014,c0,img_6326.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_6326.jpg,True,0
p014,c0,img_66711.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_66711.jpg,True,0
p014,c0,img_42001.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_42001.jpg,True,0
p014,c0,img_2064.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_2064.jpg,True,0
p014,c0,img_23182.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_23182.jpg,True,0
p014,c0,img_47225.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_47225.jpg,True,0
p014,c0,img_47393.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_47393.jpg,True,0
p014,c0,img_35474.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_35474.jpg,True,0
p014,c0,img_8954.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_8954.jpg,True,0
p014,c0,img_99179.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_99179.jpg,True,0
p014,c0,img_49875.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_49875.jpg,True,0
p014,c0,img_35908.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_35908.jpg,True,0
p014,c0,img_31778.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_31778.jpg,True,0
p014,c0,img_37897.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_37897.jpg,True,0
p014,c0,img_40457.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_40457.jpg,True,0
p014,c0,img_5605.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_5605.jpg,True,0
p014,c0,img_98068.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_98068.jpg,True,0
p014,c0,img_4447.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_4447.jpg,True,0
p014,c0,img_4450.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_4450.jpg,True,0
p014,c0,img_40967.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_40967.jpg,True,0
p014,c0,img_22519.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_22519.jpg,True,0
p014,c0,img_7828.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_7828.jpg,True,0
p014,c0,img_53191.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_53191.jpg,True,0
p014,c0,img_46190.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_46190.jpg,True,0
p014,c0,img_17359.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_17359.jpg,True,0
p014,c0,img_1005.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_1005.jpg,True,0
p014,c0,img_41017.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_41017.jpg,True,0
p014,c0,img_23996.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_23996.jpg,True,0
p014,c0,img_55791.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_55791.jpg,True,0
p014,c0,img_95735.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_95735.jpg,True,0
p014,c0,img_67027.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_67027.jpg,True,0
p014,c0,img_95086.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_95086.jpg,True,0
p014,c0,img_89168.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_89168.jpg,True,0
p014,c0,img_25389.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_25389.jpg,True,0
p014,c0,img_26701.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_26701.jpg,True,0
p014,c0,img_68180.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_68180.jpg,True,0
p014,c0,img_31479.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_31479.jpg,True,0
p014,c0,img_42232.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_42232.jpg,True,0
p014,c0,img_67429.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_67429.jpg,True,0
p014,c0,img_92464.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_92464.jpg,True,0
p014,c0,img_97281.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_97281.jpg,True,0
p014,c0,img_67041.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_67041.jpg,True,0
p014,c0,img_86599.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_86599.jpg,True,0
p014,c0,img_1078.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_1078.jpg,True,0
p014,c0,img_58289.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_58289.jpg,True,0
p014,c0,img_90747.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_90747.jpg,True,0
p014,c0,img_47847.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_47847.jpg,True,0
p014,c0,img_48062.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_48062.jpg,True,0
p014,c0,img_41096.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_41096.jpg,True,0
p014,c0,img_24984.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_24984.jpg,True,0
p014,c0,img_80259.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_80259.jpg,True,0
p014,c0,img_7415.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_7415.jpg,True,0
p014,c0,img_60373.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_60373.jpg,True,0
p014,c0,img_45304.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_45304.jpg,True,0
p014,c0,img_91624.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_91624.jpg,True,0
p014,c0,img_59598.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_59598.jpg,True,0
p014,c0,img_64461.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_64461.jpg,True,0
p014,c0,img_70787.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_70787.jpg,True,0
p014,c0,img_89051.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_89051.jpg,True,0
p014,c0,img_55385.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_55385.jpg,True,0
p014,c0,img_22499.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_22499.jpg,True,0
p014,c0,img_44627.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_44627.jpg,True,0
p014,c0,img_38539.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_38539.jpg,True,0
p014,c0,img_27414.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_27414.jpg,True,0
p014,c1,img_30433.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_30433.jpg,True,1
p014,c1,img_82604.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_82604.jpg,True,1
p014,c1,img_5450.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_5450.jpg,True,1
p014,c1,img_60603.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_60603.jpg,True,1
p014,c1,img_47896.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_47896.jpg,True,1
p014,c1,img_97366.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_97366.jpg,True,1
p014,c1,img_15501.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_15501.jpg,True,1
p014,c1,img_98739.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_98739.jpg,True,1
p014,c1,img_12181.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_12181.jpg,True,1
p014,c1,img_53010.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_53010.jpg,True,1
p014,c1,img_64200.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_64200.jpg,True,1
p014,c1,img_59748.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_59748.jpg,True,1
p014,c1,img_33035.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_33035.jpg,True,1
p014,c1,img_6678.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_6678.jpg,True,1
p014,c1,img_95128.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_95128.jpg,True,1
p014,c1,img_49338.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_49338.jpg,True,1
p014,c1,img_83189.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_83189.jpg,True,1
p014,c1,img_26718.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_26718.jpg,True,1
p014,c1,img_32998.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_32998.jpg,True,1
p014,c1,img_41191.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_41191.jpg,True,1
p014,c1,img_64198.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_64198.jpg,True,1
p014,c1,img_76180.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_76180.jpg,True,1
p014,c1,img_11053.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_11053.jpg,True,1
p014,c1,img_58578.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_58578.jpg,True,1
p014,c1,img_98368.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_98368.jpg,True,1
p014,c1,img_80378.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_80378.jpg,True,1
p014,c1,img_96093.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_96093.jpg,True,1
p014,c1,img_16861.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_16861.jpg,True,1
p014,c1,img_73507.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_73507.jpg,True,1
p014,c1,img_51101.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_51101.jpg,True,1
p014,c1,img_36731.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_36731.jpg,True,1
p014,c1,img_79638.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_79638.jpg,True,1
p014,c1,img_23966.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_23966.jpg,True,1
p014,c1,img_66851.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_66851.jpg,True,1
p014,c1,img_3351.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_3351.jpg,True,1
p014,c1,img_26355.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_26355.jpg,True,1
p014,c1,img_21329.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_21329.jpg,True,1
p014,c1,img_75786.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_75786.jpg,True,1
p014,c1,img_46141.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_46141.jpg,True,1
p014,c1,img_16382.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_16382.jpg,True,1
p014,c1,img_53158.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_53158.jpg,True,1
p014,c1,img_87912.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_87912.jpg,True,1
p014,c1,img_84446.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_84446.jpg,True,1
p014,c1,img_10812.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_10812.jpg,True,1
p014,c1,img_12457.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_12457.jpg,True,1
p014,c1,img_88886.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_88886.jpg,True,1
p014,c1,img_1420.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_1420.jpg,True,1
p014,c1,img_94778.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_94778.jpg,True,1
p014,c1,img_37055.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_37055.jpg,True,1
p014,c1,img_59094.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_59094.jpg,True,1
p014,c1,img_57326.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_57326.jpg,True,1
p014,c1,img_5503.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_5503.jpg,True,1
p014,c1,img_92383.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_92383.jpg,True,1
p014,c1,img_89888.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_89888.jpg,True,1
p014,c1,img_101038.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_101038.jpg,True,1
p014,c1,img_4747.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_4747.jpg,True,1
p014,c1,img_98634.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_98634.jpg,True,1
p014,c1,img_48353.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_48353.jpg,True,1
p014,c1,img_41670.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_41670.jpg,True,1
p014,c1,img_43955.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_43955.jpg,True,1
p014,c1,img_7322.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_7322.jpg,True,1
p014,c1,img_18964.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_18964.jpg,True,1
p014,c1,img_76678.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_76678.jpg,True,1
p014,c1,img_75152.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_75152.jpg,True,1
p014,c1,img_41780.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_41780.jpg,True,1
p014,c1,img_35598.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_35598.jpg,True,1
p014,c1,img_1830.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_1830.jpg,True,1
p014,c1,img_50710.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_50710.jpg,True,1
p014,c1,img_49720.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_49720.jpg,True,1
p014,c1,img_29828.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_29828.jpg,True,1
p014,c1,img_56775.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_56775.jpg,True,1
p014,c1,img_10626.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_10626.jpg,True,1
p014,c1,img_33045.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_33045.jpg,True,1
p014,c1,img_10606.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_10606.jpg,True,1
p014,c1,img_88474.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_88474.jpg,True,1
p014,c1,img_77376.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_77376.jpg,True,1
p014,c1,img_20054.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_20054.jpg,True,1
p014,c1,img_80892.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_80892.jpg,True,1
p014,c1,img_82068.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_82068.jpg,True,1
p014,c1,img_84578.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_84578.jpg,True,1
p014,c1,img_83435.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_83435.jpg,True,1
p014,c1,img_85652.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_85652.jpg,True,1
p014,c1,img_61632.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_61632.jpg,True,1
p014,c1,img_57881.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_57881.jpg,True,1
p014,c1,img_3658.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_3658.jpg,True,1
p014,c1,img_31913.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_31913.jpg,True,1
p014,c1,img_53609.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_53609.jpg,True,1
p014,c1,img_100046.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_100046.jpg,True,1
p014,c1,img_13179.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_13179.jpg,True,1
p014,c1,img_39409.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_39409.jpg,True,1
p014,c1,img_38807.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_38807.jpg,True,1
p014,c1,img_85388.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_85388.jpg,True,1
p014,c1,img_85969.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_85969.jpg,True,1
p014,c1,img_7470.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_7470.jpg,True,1
p014,c1,img_30498.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_30498.jpg,True,1
p014,c1,img_102119.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_102119.jpg,True,1
p014,c1,img_64567.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_64567.jpg,True,1
p014,c1,img_28720.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_28720.jpg,True,1
p014,c1,img_31469.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_31469.jpg,True,1
p014,c1,img_56396.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_56396.jpg,True,1
p014,c1,img_7837.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_7837.jpg,True,1
p014,c1,img_5545.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_5545.jpg,True,1
p014,c1,img_48068.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c1\img_48068.jpg,True,1
p014,c2,img_64745.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_64745.jpg,True,2
p014,c2,img_72914.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_72914.jpg,True,2
p014,c2,img_14363.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_14363.jpg,True,2
p014,c2,img_92491.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_92491.jpg,True,2
p014,c2,img_15069.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_15069.jpg,True,2
p014,c2,img_20295.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_20295.jpg,True,2
p014,c2,img_69428.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_69428.jpg,True,2
p014,c2,img_81800.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_81800.jpg,True,2
p014,c2,img_31740.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_31740.jpg,True,2
p014,c2,img_32934.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_32934.jpg,True,2
p014,c2,img_86001.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c2\img_86001.jpg,True,2
